812881667,3913,5/12/17,1/12/17,11/12/17
0-13-368426,3812,5/12/17,1/12/17,6/12/17
4230-4257,3812,5/12/17,10/12/17,17/12/17
0-13-612356-2,3812,5/12/17,1/12/17,14/12/17
5-51245234,3919,6/12/17,11/12/17,17/12/17
0-13-612356-2,3919,6/12/17,11/12/17,11/12/17
0-13-368426,3919,6/12/17,11/12/17,11/12/17
5-51245234,3812,11/12/17,16/12/17,14/12/17
4230-4257,3919,11/12/17,16/12/17,11/12/17
5-51245234,2222,11/12/17,16/12/17,11/12/17
5-51245234,3960,17/12/17,22/12/17,16/12/17
812881667,3960,17/12/17,18/12/17,21/12/17
812881667,3812,17/12/17,18/12/17,20/12/17
